verbs,words,metric
"[{'verb': 'йортта', 'description': {'V': 'йортта', 'Arg(субъект ментального состояния)': 'хатыны', 'Arg(содержание мысли)': 'бәйле', 'Arg(говорящий)': 'хатыны', 'Arg(адресат)': 'һәм', 'Arg(место)': 'бер'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'Arg(содержание мысли)', 'O', 'O', 'Arg(адресат)', 'O', 'O', 'O', 'Arg(место)', 'V', 'O', 'O', 'O', 'O']}]","['Хатыны', 'иренең', 'үз', 'өйләрендәге', 'элеккеге', 'француз', 'хатыны', 'белән', 'бәйле', 'булганын', 'белгәнгувернантка,', 'һәм', 'иренә', 'аның', 'белән', 'бер', 'йортта', 'яши', 'алмавын', 'игълан', 'иткән']",1.0
"[{'verb': '', 'description': {'Arg(срок)': 'көн'}, 'tags': ['O', 'O', 'O', 'O', 'Arg(срок)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Бу', 'хәл', 'инде', 'өченче', 'көн', 'дәвам', 'итте', 'һәм', 'тормыш', 'иптәшләре', 'дә,', 'гаиләдәгеләр', 'дә,', 'туганнары', 'да', 'газап', 'чикте']",0.2
"[{'verb': '', 'description': {'Arg(субъект ментального состояния)': 'әгъзалары'}, 'tags': ['O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Барлык', 'гаилә', 'әгъзалары', 'һәм', 'өйдәге', 'кешеләр', 'үзләренең', 'бергә', 'яшәүләренең', 'мәгънәсе', 'юк', 'һәм', 'һәрбер', 'ишегалдында', 'очраклы', 'рәвештә', 'җыелган', 'кешеләр', 'алар,', 'гаилә', 'әгъзалары', 'һәм', 'Облонскийлар', 'белән', 'бәйле', 'дип', 'уйладылар']",0.33
"[{'verb': 'урын', 'description': {'V': 'урын', 'Arg(субъект перемещения)': 'сорады;', 'Arg(говорящий)': 'сорады;', 'Arg(исходный посессор)': 'һәм', 'Arg(содержание высказывания)': 'яңа'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(исходный посессор)', 'O', 'Arg(содержание высказывания)', 'V', 'Arg(субъект перемещения)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(исходный посессор)', 'O', 'O', 'Arg(субъект перемещения)']}]","['Балалар', 'бөтен', 'өй', 'буйлап', 'югалган', 'кебек', 'йөгерделәр;', 'Инглиз', 'кызы', 'экономка', 'белән', 'сугышты', 'һәм', 'иптәшенә', 'яңа', 'урын', 'сорады;', 'пешекче', 'кичә', 'ишегалдыннан,', 'төшке', 'аш', 'вакытында', 'китте;', 'кара', 'пешекче', 'һәм', 'кучер', 'исәп-хисап', 'сорады']",0.71
"[{'verb': 'уянган', 'description': {'V': 'уянган', 'Arg(место)': 'бүлмәсендә', 'Arg(эталон)': 'диванында', 'Arg(срок)': 'сәгатьтә,'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(срок)', 'O', 'O', 'Arg(срок)', 'O', 'O', 'O', 'Arg(место)', 'O', 'Arg(место)', 'O', 'O', 'O', 'Arg(эталон)', 'V']}]","['Бәхәстән', 'соң', 'өченче', 'көнне', 'Кенәз', 'Степан', 'Аркадьич', 'Облонский–', 'Стива,', 'яктылыкта', 'аталганча,', 'гадәти', 'сәгатьтә,', 'ягъни', 'иртәнге', 'сәгать', 'сигездә,', 'хатынының', 'йокы', 'бүлмәсендә', 'түгел,', 'ә', 'үз', 'кабинетында,', 'Сафьян', 'диванында', 'уянган']",0.8
"[{'verb': 'һәм', 'description': {'V': 'һәм', 'Arg(агенс)': 'нык', 'Arg(пациенс)': 'утырды', 'Arg(конечная точка)': 'диван', 'Arg(субъект психологического состояния)': 'нык', 'Arg(субъект перемещения)': 'нык'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V', 'O', 'O']}]","['Ул', 'үзенең', 'тулы,', 'төпләнгән', 'гәүдәсен', 'диван', 'чишмәләрендә', 'Борды,', 'ничек', 'кенә', 'кабат', 'йокларга', 'теләсәң', 'дә,', 'мендәрен', 'нык', 'кочаклап,', 'аңа', 'яңагы', 'белән', 'үрелеп', 'алды;', 'әмма', 'кинәт', 'сикерде,', 'диванга', 'утырды', 'һәм', 'күзләрен', 'ачты']",0.86
"[{'verb': '', 'description': {'Arg(говорящий)': 'tesoro'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(говорящий)', 'O', 'O', 'O', 'O']}]","['Әйе,', 'Алабин', 'пыяла', 'өстәлләрдә', 'төшке', 'аш', 'бирде,', 'Әйе-һәм', 'өстәлләр', 'җырладылар:', 'Il', 'mio', 'tesoro', 'һәм', 'Il', 'mio', 'tesoro', 'түгел,', 'ә', 'кайсысы', 'яхшырак,', 'кечкенә', 'графинчиклар', 'һәм', 'алар', 'хатын-кызлар»,', '-', 'дип', 'искә', 'төшерде', 'ул']",0.2
"[{'verb': 'уйлады', 'description': {'V': 'уйлады', 'Arg(субъект ментального состояния)': 'ул'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'V']}]","['Степан', 'Аркадиичның', 'күзләре', 'күңелле', 'ялтырап', 'торды', 'һәм', 'ул', 'елмаеп', 'уйлады']",0.67
"[{'verb': '', 'description': {'Arg(способ)': 'сүз'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(способ)', 'O', 'O', 'Arg(способ)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}]","['Анда', 'бик', 'күп', 'нәрсә', 'бар', 'иде,', 'сүз', 'һәм', 'уй', '-', 'фикерләр', 'белән', 'әйтмәссең,', 'хәтта', 'наявка', 'да', 'белдереп', 'булмый»']",0.5
"[{'verb': '', 'description': {'Arg(начальная точка)': 'диваннан', 'Arg(агенс)': 'ул', 'Arg(пациенс перемещения)': 'кулын', 'Arg(конечная точка)': 'урынга', 'Arg(место)': 'йокы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'Arg(начальная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'Arg(конечная точка)', 'Arg(пациенс перемещения)', 'O']}]","['Сукыр', 'якның', 'бер', 'ягында', 'үткән', 'яктылыкны', 'күреп,', 'ул', 'диваннан', 'аякларын', 'шатланып', 'ташлады,', 'хатыны', 'белән', 'тегелгән', '(узган', 'ел', 'туган', 'көнгә', 'бүләк),', 'Алтын', 'сафьян', 'туфлиен', 'эзләп', 'тапты', 'һәм', 'тугыз', 'яшьлек', 'гадәте', 'буенча', 'тормыйча,', 'йокы', 'бүлмәсендә', 'халат', 'эленгән', 'урынга', 'кулын', 'сузды']",0.62
"[{'verb': 'җыерды', 'description': {'V': 'җыерды', 'Arg(субъект ментального состояния)': 'ул', 'Arg(тема)': 'ул', 'Arg(место)': 'бүлмәсендә', 'Arg(агенс)': 'ул', 'Arg(пациенс)': 'маңгаен'}, 'tags': ['O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'Arg(место)', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(пациенс)', 'V']}]","['Шунда', 'ул', 'кинәт', 'исенә', 'төшерде,', 'ничек', 'һәм', 'ни', 'өчен', 'ул', 'хатыны', 'йокы', 'бүлмәсендә', 'түгел,', 'ә', 'кабинетта', 'йоклый;', 'елмаю', 'аның', 'йөзеннән', 'юкка', 'чыкты,', 'маңгаен', 'җыерды']",0.86
"[{'verb': 'кычкырды', 'description': {'V': 'кычкырды'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'V']}]","['»', 'ул,', 'бар', 'булганын', 'искә', 'төшереп,', 'кычкырды']",0.5
"[{'verb': '', 'description': {'Arg(субъект ментального состояния)': 'уйлады'}, 'tags': ['O', 'O', 'O', 'Arg(субъект ментального состояния)', 'O', 'Arg(субъект ментального состояния)', 'O']}]","['Бу', 'бөтен', 'драма,', '-', 'дип', 'уйлады', 'ул']",0.5
"[{'verb': 'спальняда', 'description': {'V': 'спальняда', 'Arg(начальная точка)': 'театрдан', 'Arg(субъект перемещения)': 'ул,', 'Arg(место)': 'кулындагы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(субъект перемещения)', 'Arg(начальная точка)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'Arg(место)']}]","['Иң', 'күңелсезе', 'беренче', 'минут', 'иде,', 'ул,', 'театрдан', 'кайткач,', 'күңелле', 'һәм', 'канәгать,', 'хатыны', 'өчен', 'кулындагы', 'зур', 'груша', 'белән,', 'хатынын', 'тапмады', 'бүлмәдә;', 'кудивлению,', 'тапмады', 'аны', 'кабинетта', 'һәм,', 'ниһаять,', 'күрдем,', 'аны', 'спальняда', 'белән', 'несчастной,', 'ачкан', 'барлык', 'запиской', 'кулында']",0.8
